CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas,Status
347825,REG_ANS_347825,2,2025,79369961,40,OK
331872,REG_ANS_331872,3,2025,3700946081,14,OK
420816,REG_ANS_420816,3,2025,40665639,90,OK
420816,REG_ANS_420816,2,2025,41314536,40,OK
331872,REG_ANS_331872,1,2025,3792576489,42,OK
331872,REG_ANS_331872,2,2025,3738576102,78,OK
326500,REG_ANS_326500,3,2025,2228508963,94,OK
326500,REG_ANS_326500,1,2025,2132973435,58,OK
420816,REG_ANS_420816,1,2025,40142478,18,OK
326500,REG_ANS_326500,2,2025,2192273736,44,OK
424170,REG_ANS_424170,2,2025,97350960,00,OK
424170,REG_ANS_424170,1,2025,44933966,68,OK
342386,REG_ANS_342386,3,2025,509588203,10,OK
342386,REG_ANS_342386,2,2025,509111211,54,OK
342386,REG_ANS_342386,1,2025,511036843,06,OK
422339,REG_ANS_422339,1,2025,3688038490,56,OK
422339,REG_ANS_422339,2,2025,4017264920,16,OK
422339,REG_ANS_422339,3,2025,4833522371,12,OK
386588,REG_ANS_386588,3,2025,1894643347,92,OK
361615,REG_ANS_361615,2,2025,784122861,08,OK
361615,REG_ANS_361615,1,2025,787600104,48,OK
318388,REG_ANS_318388,1,2025,725015393,00,OK
361615,REG_ANS_361615,3,2025,746047445,90,OK
414930,REG_ANS_414930,1,2025,767850037,20,OK
318388,REG_ANS_318388,2,2025,744422935,12,OK
359017,REG_ANS_359017,3,2025,82730651932,76,OK
359017,REG_ANS_359017,2,2025,104474593899,16,OK
318388,REG_ANS_318388,3,2025,817721668,96,OK
359017,REG_ANS_359017,1,2025,97936900643,84,OK
414930,REG_ANS_414930,3,2025,613097840,52,OK
414930,REG_ANS_414930,2,2025,569136959,58,OK
424170,REG_ANS_424170,3,2025,84750283,28,OK
345709,REG_ANS_345709,3,2025,991776519,64,OK
386588,REG_ANS_386588,2,2025,1789926066,98,OK
386588,REG_ANS_386588,1,2025,1813421329,38,OK
345709,REG_ANS_345709,1,2025,956544657,92,OK
345709,REG_ANS_345709,2,2025,1031014233,38,OK
413160,REG_ANS_413160,3,2025,367734613,72,OK
413160,REG_ANS_413160,2,2025,355519352,82,OK
413160,REG_ANS_413160,1,2025,337596307,60,OK
329665,REG_ANS_329665,2,2025,162307110,14,OK
329665,REG_ANS_329665,3,2025,219215104,00,OK
327352,REG_ANS_327352,2,2025,351357672,82,OK
327352,REG_ANS_327352,1,2025,365519891,76,OK
327352,REG_ANS_327352,3,2025,339519643,34,OK
321273,REG_ANS_321273,3,2025,4461239149,42,OK
350699,REG_ANS_350699,2,2025,849390143,96,OK
350699,REG_ANS_350699,1,2025,551578231,82,OK
321273,REG_ANS_321273,2,2025,4408713816,78,OK
321273,REG_ANS_321273,1,2025,4491243721,42,OK
343463,REG_ANS_343463,1,2025,462944612,90,OK
343463,REG_ANS_343463,2,2025,531717821,82,OK
